student_id,student_name,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,subject_avg,risk_label,instruction,guidance
1011,Aditya Desai,Psychology,Male,History,Performance Test,2026-03-04,55,100,55,53,55.0,84.0,75.0,55.0,subject_weakness,"Class: 10B, Subject: History, Score: 55%, Attendance: 75%, Overall avg: 84%, Subject avg: 55%.",Strong overall student (84% average) but History is weak point (55%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated History tutor immediately 2) Daily History practice (minimum 45 minutes) 3) Group sessions focusing only on History 4) Weekly History-only assessments 5) Identify and fix conceptual gaps.
1012,Rishabh Nair,Biotechnology,Male,Chemistry,Assessment 2,2026-03-01,58,100,58,65,58.0,80.0,75.0,58.0,subject_weakness,"Class: 10B, Subject: Chemistry, Score: 58%, Attendance: 75%, Overall avg: 80%, Subject avg: 58%.",Clear strength-weakness pattern: 80% average overall but only 58% in Chemistry. Chemistry is holding back potential. CORRECTIVE MEASURES: 1) Immediate Chemistry tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
1013,Jatin Bhat,Commerce,Male,English,Formative Test,2026-02-13,36,100,36,51,36.0,75.0,86.0,36.0,gradual_decline,"Class: 10A, Subject: English, Scores history: 85% → 76% → 64%. Attendance: 86%, Overall avg: 74%, Subject avg: 75%.",3-test English decline pattern: 85% → 76% → 64%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
1014,Shreya Kumar,Mechanical Engineering,Female,Physics,Pre-Board Exam,2026-02-19,45,100,45,52,45.0,75.0,75.0,45.0,gradual_decline,"Class: 9B, Subject: Physics, Scores history: 76% → 71% → 66%. Attendance: 75%, Overall avg: 64%, Subject avg: 71%.",Physics scores declining steadily: 76% → 71% → 66%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
1015,Pooja Rao,Economics,Female,Math,Assessment 1,2026-02-28,53,100,53,82,53.0,75.0,78.0,53.0,sudden_drop,"Class: 8B, Subject: Math, Score: 53% (previous: 81%), Attendance: 78%, Overall avg: 69%, Subject avg: 67%.",Amit's Math dropped 28 points suddenly (81% → 53%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
1016,Nisha Kulkarni,Chemical Engineering,Female,Chemistry,Assessment 2,2026-02-22,67,100,67,87,67.0,75.0,59.0,67.0,sudden_drop,"Class: 8A, Subject: Chemistry, Score: 67% (previous: 86%), Attendance: 59%, Overall avg: 71%, Subject avg: 76%.",Amit's Chemistry dropped 19 points suddenly (86% → 67%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
1017,Meera Kumar,Computer Science & Engineering,Female,Biology,Unit Test 3,2026-02-27,54,100,54,64,54.0,82.0,88.0,54.0,subject_weakness,"Class: 8B, Subject: Biology, Score: 54%, Attendance: 88%, Overall avg: 82%, Subject avg: 54%.",Student excels generally (82% overall) but struggles in Biology (54% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
1018,Amit Bhat,Computer Science & Engineering,Male,Math,Mid Term Exam,2026-02-20,63,100,63,89,63.0,75.0,88.0,63.0,sudden_drop,"Class: 8A, Subject: Math, Score: 63% (previous: 83%), Attendance: 88%, Overall avg: 66%, Subject avg: 73%.",Math 20% sudden drop with 88% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
1019,Rishabh Gupta,Mechanical Engineering,Male,Physics,Monthly Assessment,2026-03-14,59,100,59,61,59.0,85.0,94.0,59.0,subject_weakness,"Class: 8A, Subject: Physics, Score: 59%, Attendance: 94%, Overall avg: 85%, Subject avg: 59%.",Strong overall student (85% average) but Physics is weak point (59%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
1020,Aditya Khan,Electronics & Communication,Male,History,Assessment 2,2026-03-07,47,100,47,54,47.0,72.0,88.0,47.0,subject_weakness,"Class: 9B, Subject: History, Score: 47%, Attendance: 88%, Overall avg: 72%, Subject avg: 47%.",Student excels generally (72% overall) but struggles in History (47% average). History seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified History materials 4) Bi-weekly progress tests 5) Peer mentoring in History.
1021,Anjali Kulkarni,Electronics & Communication,Female,Math,Unit Test 1,2026-03-13,86,100,86,88,86.0,95.0,87.0,86.0,no_risk,"Class: 8B, Subject: Math, Score: 86%, Attendance: 87%, Overall avg: 95%.",✅ Outstanding Math achievement (86%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
1022,Sakshi Gupta,Commerce,Female,Chemistry,Mid Term Exam,2026-02-27,89,100,89,84,89.0,91.0,93.0,89.0,no_risk,"Class: 9A, Subject: Chemistry, Score: 89%, Attendance: 93%, Overall avg: 91%.",✅ Excellent performance in Chemistry (89%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
1023,Sanjay Nair,Economics,Male,Physics,Pre-Board Exam,2026-03-15,51,100,51,61,51.0,76.0,93.0,51.0,subject_weakness,"Class: 10B, Subject: Physics, Score: 51%, Attendance: 93%, Overall avg: 76%, Subject avg: 51%.",Clear strength-weakness pattern: 76% average overall but only 51% in Physics. Physics is holding back potential. CORRECTIVE MEASURES: 1) Immediate Physics tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
1024,Nikhil Sharma,Computer Science & Engineering,Male,Science,Unit Test 3,2026-02-21,68,100,68,88,68.0,75.0,86.0,68.0,sudden_drop,"Class: 10B, Subject: Science, Score: 68% (previous: 85%), Attendance: 86%, Overall avg: 86%, Subject avg: 76%.",Science performance fell 17 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Science lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
1025,Shiva Desai,Commerce,Male,History,Formative Test,2026-02-17,60,100,60,60,60.0,85.0,78.0,60.0,subject_weakness,"Class: 10B, Subject: History, Score: 60%, Attendance: 78%, Overall avg: 85%, Subject avg: 60%.",Strong overall student (85% average) but History is weak point (60%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated History tutor immediately 2) Daily History practice (minimum 45 minutes) 3) Group sessions focusing only on History 4) Weekly History-only assessments 5) Identify and fix conceptual gaps.
1026,Amit Nair,Electronics & Communication,Male,English,Performance Test,2026-03-10,70,100,70,85,70.0,75.0,72.0,70.0,sudden_drop,"Class: 9A, Subject: English, Score: 70% (previous: 89%), Attendance: 72%, Overall avg: 73%, Subject avg: 79%.",Sudden 19% drop in English (89% to 70%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
1027,Vikram Singh,Biotechnology,Male,Math,Unit Test 3,2026-02-14,75,100,75,73,75.0,85.0,86.0,75.0,no_risk,"Class: 9A, Subject: Math, Score: 75%, Attendance: 86%, Overall avg: 85%.",✅ Outstanding Math achievement (75%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
1028,Shiva Khan,Psychology,Male,Biology,Chapter Quiz,2026-02-26,58,100,58,59,58.0,73.0,89.0,58.0,subject_weakness,"Class: 8B, Subject: Biology, Score: 58%, Attendance: 89%, Overall avg: 73%, Subject avg: 58%.",Student excels generally (73% overall) but struggles in Biology (58% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
1029,Sakshi Rao,Biotechnology,Female,Social Studies,Performance Test,2026-02-27,88,100,88,86,88.0,90.0,87.0,88.0,no_risk,"Class: 8B, Subject: Social Studies, Score: 88%, Attendance: 87%, Overall avg: 90%.",✅ Social Studies mastery shown (88% with 87% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Social Studies 3) Mentoring weaker students 4) Competitive exam preparation.
1030,Shreya Patel,Commerce,Female,Biology,Unit Test 1,2026-03-12,46,100,46,45,46.0,79.0,91.0,46.0,subject_weakness,"Class: 10A, Subject: Biology, Score: 46%, Attendance: 91%, Overall avg: 79%, Subject avg: 46%.",Student excels generally (79% overall) but struggles in Biology (46% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
1031,Kavya Sharma,Chemical Engineering,Female,Math,Unit Test 3,2026-02-22,95,100,95,92,95.0,93.0,95.0,95.0,no_risk,"Class: 9B, Subject: Math, Score: 95%, Attendance: 95%, Overall avg: 93%.",✅ Math mastery shown (95% with 95% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Math 3) Mentoring weaker students 4) Competitive exam preparation.
1032,Divya Bhat,Electronics & Communication,Female,Science,Mid Term Exam,2026-03-03,45,100,45,63,45.0,75.0,90.0,45.0,sudden_drop,"Class: 10A, Subject: Science, Score: 45% (previous: 70%), Attendance: 90%, Overall avg: 58%, Subject avg: 57%.",Science performance fell 25 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Science lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
1033,Karan Verma,Business Administration,Male,Social Studies,Performance Test,2026-03-03,92,100,92,92,92.0,89.0,99.0,92.0,no_risk,"Class: 9B, Subject: Social Studies, Score: 92%, Attendance: 99%, Overall avg: 89%.",✅ Social Studies mastery shown (92% with 99% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Social Studies 3) Mentoring weaker students 4) Competitive exam preparation.
1034,Varun Rao,Economics,Male,Biology,Performance Test,2026-03-12,66,100,66,91,66.0,75.0,55.0,66.0,sudden_drop,"Class: 8B, Subject: Biology, Score: 66% (previous: 84%), Attendance: 55%, Overall avg: 61%, Subject avg: 75%.",Critical alert: Biology score plummeted (18% drop). Attendance is 55% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
1035,Ananya Singh,Electrical Engineering,Female,Chemistry,Mid Term Exam,2026-02-21,84,100,84,96,84.0,75.0,62.0,84.0,gradual_decline,"Class: 10B, Subject: Chemistry, Scores history: 82% → 73% → 66%. Attendance: 62%, Overall avg: 62%, Subject avg: 73%.",Downward trend in Chemistry: 82% → 73% → 66%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
1036,Sakshi Bhat,Computer Science & Engineering,Female,Math,Unit Test 3,2026-03-07,93,100,93,91,93.0,92.0,90.0,93.0,no_risk,"Class: 10A, Subject: Math, Score: 93%, Attendance: 90%, Overall avg: 92%.",✅ Math performing at 93% - exactly where we want to see! Strong foundations with 90% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
1037,Deepika Nair,Civil Engineering,Female,History,Monthly Assessment,2026-02-17,36,100,36,61,36.0,75.0,51.0,36.0,sudden_drop,"Class: 9B, Subject: History, Score: 36% (previous: 71%), Attendance: 51%, Overall avg: 52%, Subject avg: 53%.",Amit's History dropped 35 points suddenly (71% → 36%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
1038,Sanjay Rao,Biotechnology,Male,Chemistry,Assessment 1,2026-03-12,41,100,41,40,41.0,76.0,86.0,41.0,subject_weakness,"Class: 9B, Subject: Chemistry, Score: 41%, Attendance: 86%, Overall avg: 76%, Subject avg: 41%.",Student excels generally (76% overall) but struggles in Chemistry (41% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
1039,Arjun Khan,Chemical Engineering,Male,History,Unit Test 3,2026-03-05,81,100,81,87,81.0,75.0,65.0,81.0,gradual_decline,"Class: 9B, Subject: History, Scores history: 89% → 78% → 70%. Attendance: 65%, Overall avg: 83%, Subject avg: 79%.",History scores declining steadily: 89% → 78% → 70%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
1040,Rishabh Gupta,Information Technology,Male,Social Studies,Unit Test 1,2026-02-25,62,100,62,87,62.0,75.0,54.0,62.0,sudden_drop,"Class: 9B, Subject: Social Studies, Score: 62% (previous: 78%), Attendance: 54%, Overall avg: 70%, Subject avg: 70%.",Sudden 16% drop in Social Studies (78% to 62%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
1041,Priya Verma,Electrical Engineering,Male,English,Chapter Quiz,2026-02-17,63,100,63,71,63.0,75.0,75.0,63.0,gradual_decline,"Class: 10A, Subject: English, Scores history: 91% → 86% → 75%. Attendance: 75%, Overall avg: 89%, Subject avg: 84%.",3-test English decline pattern: 91% → 86% → 75%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
1042,Sakshi Patel,Civil Engineering,Female,Biology,Assessment 1,2026-02-13,49,100,49,71,49.0,75.0,84.0,49.0,sudden_drop,"Class: 8B, Subject: Biology, Score: 49% (previous: 79%), Attendance: 84%, Overall avg: 53%, Subject avg: 64%.",Critical alert: Biology score plummeted (30% drop). Attendance is 84% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
1043,Neha Bhat,Electronics & Communication,Female,Social Studies,Monthly Assessment,2026-02-17,51,100,51,58,51.0,75.0,69.0,51.0,gradual_decline,"Class: 8A, Subject: Social Studies, Scores history: 76% → 68% → 57%. Attendance: 69%, Overall avg: 72%, Subject avg: 67%.",Social Studies scores declining steadily: 76% → 68% → 57%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
1044,Kavya Sharma,Information Technology,Female,Math,Unit Test 1,2026-02-21,40,100,40,45,40.0,75.0,62.0,40.0,gradual_decline,"Class: 9A, Subject: Math, Scores history: 79% → 69% → 57%. Attendance: 62%, Overall avg: 65%, Subject avg: 68%.",Gradual Math decline detected: 79% → 69% → 57%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
1045,Amit Gupta,Mechanical Engineering,Male,Social Studies,Chapter Quiz,2026-03-02,86,100,86,95,86.0,90.0,89.0,86.0,no_risk,"Class: 9B, Subject: Social Studies, Score: 86%, Attendance: 89%, Overall avg: 90%.",✅ Excellent performance in Social Studies (86%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
1046,Meera Kumar,Mechanical Engineering,Female,Math,Unit Test 3,2026-02-19,55,100,55,57,55.0,90.0,87.0,55.0,subject_weakness,"Class: 9A, Subject: Math, Score: 55%, Attendance: 87%, Overall avg: 90%, Subject avg: 55%.",Strong overall student (90% average) but Math is weak point (55%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Math tutor immediately 2) Daily Math practice (minimum 45 minutes) 3) Group sessions focusing only on Math 4) Weekly Math-only assessments 5) Identify and fix conceptual gaps.
1047,Ananya Rao,Chemical Engineering,Female,Physics,Monthly Assessment,2026-03-04,52,100,52,57,52.0,87.0,90.0,52.0,subject_weakness,"Class: 8A, Subject: Physics, Score: 52%, Attendance: 90%, Overall avg: 87%, Subject avg: 52%.",Student excels generally (87% overall) but struggles in Physics (52% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
1048,Neha Bhat,Mechanical Engineering,Female,Chemistry,Monthly Assessment,2026-03-03,53,100,53,53,53.0,88.0,95.0,53.0,subject_weakness,"Class: 10A, Subject: Chemistry, Score: 53%, Attendance: 95%, Overall avg: 88%, Subject avg: 53%.",Student excels generally (88% overall) but struggles in Chemistry (53% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
1049,Pooja Rao,Information Technology,Female,Biology,Performance Test,2026-02-21,64,100,64,77,64.0,75.0,83.0,64.0,gradual_decline,"Class: 9B, Subject: Biology, Scores history: 81% → 71% → 59%. Attendance: 83%, Overall avg: 65%, Subject avg: 70%.",3-test Biology decline pattern: 81% → 71% → 59%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
1050,Anjali Rao,Information Technology,Female,Physics,Unit Test 1,2026-02-20,75,100,75,87,75.0,75.0,64.0,75.0,gradual_decline,"Class: 10B, Subject: Physics, Scores history: 82% → 70% → 65%. Attendance: 64%, Overall avg: 70%, Subject avg: 72%.","Physics performance declining (82% → 70% → 65%). With 64% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
1051,Deepika Sharma,Economics,Female,History,Assessment 2,2026-02-20,81,100,81,76,81.0,91.0,91.0,81.0,no_risk,"Class: 8B, Subject: History, Score: 81%, Attendance: 91%, Overall avg: 91%.",✅ History mastery shown (81% with 91% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
1052,Amit Rao,Electrical Engineering,Male,History,Performance Test,2026-03-14,67,100,67,77,67.0,75.0,88.0,67.0,gradual_decline,"Class: 10B, Subject: History, Scores history: 87% → 75% → 68%. Attendance: 88%, Overall avg: 83%, Subject avg: 76%.",Downward trend in History: 87% → 75% → 68%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
1053,Isha Patel,Computer Science & Engineering,Female,Physics,Assessment 2,2026-03-09,93,100,93,91,93.0,95.0,95.0,93.0,no_risk,"Class: 9A, Subject: Physics, Score: 93%, Attendance: 95%, Overall avg: 95%.",✅ Outstanding Physics achievement (93%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
1054,Priya Desai,Biotechnology,Male,Science,Mid Term Exam,2026-02-13,46,100,46,47,46.0,79.0,78.0,46.0,subject_weakness,"Class: 9A, Subject: Science, Score: 46%, Attendance: 78%, Overall avg: 79%, Subject avg: 46%.",Student performing well (79%) except Science (46% average). Need Science specialization. PLAN: 1) One-on-one Science coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Science 5) Weekly check-ins to track Science improvement.
1055,Sakshi Patel,Business Administration,Female,Biology,Unit Test 2,2026-02-27,58,100,58,73,58.0,75.0,89.0,58.0,gradual_decline,"Class: 8A, Subject: Biology, Scores history: 82% → 71% → 66%. Attendance: 89%, Overall avg: 80%, Subject avg: 73%.",3-test Biology decline pattern: 82% → 71% → 66%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
1056,Priya Singh,Commerce,Male,Physics,Monthly Assessment,2026-02-24,58,100,58,54,58.0,85.0,92.0,58.0,subject_weakness,"Class: 10B, Subject: Physics, Score: 58%, Attendance: 92%, Overall avg: 85%, Subject avg: 58%.",Strong overall student (85% average) but Physics is weak point (58%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
1057,Isha Patel,Mechanical Engineering,Female,Biology,Assessment 2,2026-03-05,45,100,45,53,45.0,75.0,68.0,45.0,gradual_decline,"Class: 8B, Subject: Biology, Scores history: 88% → 77% → 72%. Attendance: 68%, Overall avg: 65%, Subject avg: 79%.","Biology performance declining (88% → 77% → 72%). With 68% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
1058,Divya Patel,Chemical Engineering,Female,Science,Unit Test 1,2026-03-05,48,100,48,68,48.0,75.0,52.0,48.0,sudden_drop,"Class: 10A, Subject: Science, Score: 48% (previous: 83%), Attendance: 52%, Overall avg: 52%, Subject avg: 65%.",Amit's Science dropped 35 points suddenly (83% → 48%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
